"id","production_country"
"tm78067","'US'"
"tm95252","'US'"
"tm32919","'DE'"
"tm32919","'US'"
"tm169949","'US'"
"tm935993","'TW'"
"tm30205","'HK'"
"tm40009","'US'"
"tm141390","'US'"
"ts35155","'JP'"
"tm94606","'GB'"
"tm94606","'US'"
"ts15986","'GB'"
"tm102337","'US'"
"ts22318","'IT'"
"tm159901","'US'"
"tm74780","'US'"
"ts30356","'GB'"
"ts32186","'JP'"
"tm24088","'US'"
"tm111600","'US'"
"tm88045","'US'"
"tm78919","'US'"
"tm78919","'FR'"
"tm78919","'DE'"
"tm78919","'GB'"
"tm173066","'GB'"
"tm173066","'US'"
"tm173066","'FR'"
"tm173066","'DE'"
"tm118637","'US'"
"tm142564","'IN'"
"tm57190","'US'"
"ts21706","'AU'"
"tm137362","'US'"
"ts24028","'GB'"
"tm148379","'US'"
"tm137342","'US'"
"tm90864","'US'"
"ts21740","'JP'"
"tm32144","'US'"
"tm141707","'US'"
"tm150214","'IT'"
"tm150214","'US'"
"tm81030","'GB'"
"tm81030","'US'"
"ts687","'US'"
"tm147211","'US'"
"tm147211","'GB'"
"ts31514","'US'"
"ts33559","'GB'"
"tm78671","'US'"
"ts26322","'JP'"
"ts12815","'US'"
"tm27268","'US'"
"tm86189","'US'"
"tm86189","'CA'"
"tm700","'US'"
"tm700","'ZA'"
"tm101249","'US'"
"tm161263","'DE'"
"tm161263","'US'"
"tm81270","'US'"
"tm89684","'US'"
"tm165593","'DE'"
"tm165593","'US'"
"tm112381","'US'"
"tm101334","'US'"
"tm39487","'US'"
"ts23752","'JP'"
"tm43399","'IN'"
"ts21421","'GB'"
"ts21421","'ES'"
"ts22005","'CA'"
"ts20398","'AU'"
"tm186461","'GB'"
"tm186461","'US'"
"tm186461","'JP'"
"tm29555","'US'"
"tm103095","'HK'"
"tm103095","'CN'"
"tm97070","'US'"
"tm183963","'US'"
"tm76428","'US'"
"tm77649","'US'"
"tm86924","'US'"
"ts98340","'CA'"
"ts98340","'US'"
"tm26638","'US'"
"tm78189","'GB'"
"tm78189","'US'"
"tm78189","'BG'"
"ts20544","'JP'"
"ts23835","'RU'"
"tm104880","'US'"
"ts30288","'JP'"
"ts38159","'FR'"
"tm22294","'US'"
"tm100015","'US'"
"ts25765","'JP'"
"ts21688","'KR'"
"tm83786","'IN'"
"tm130574","'US'"
"tm114476","'US'"
"ts20535","'US'"
"ts1893","'GB'"
"tm118462","'DE'"
"tm118462","'US'"
"ts12701","'FR'"
"ts121176","'US'"
"tm86995","'US'"
"ts20526","'US'"
"ts23808","'US'"
"tm97544","'CA'"
"tm97544","'US'"
"tm97544","'IN'"
"ts31593","'KR'"
"ts27459","'CN'"
"ts3666","'JP'"
"tm53999","'US'"
"tm164557","'JP'"
"tm164557","'HK'"
"tm80059","'JP'"
"tm135451","'US'"
"tm71558","'MX'"
"tm134235","'JP'"
"tm160800","'CA'"
"tm160800","'GB'"
"tm160800","'US'"
"tm22342","'US'"
"ts42914","'FR'"
"tm22636","'CA'"
"ts21967","'CA'"
"ts21967","'US'"
"tm85549","'EG'"
"tm100688","'FR'"
"tm100688","'MX'"
"tm100688","'ES'"
"tm22493","'US'"
"ts14102","'CA'"
"tm103732","'IN'"
"tm73058","'IN'"
"tm138497","'CA'"
"ts20358","'US'"
"tm36475","'IN'"
"tm144345","'IN'"
"tm76835","'IN'"
"tm38896","'US'"
"tm86051","'IN'"
"ts74931","'US'"
"tm29269","'IN'"
"ts17028","'JP'"
